STATE_COUNTY,WHITESPER
CA_MADERA,0.626
CA_MARIN,0.8
CA_MARIPOSA,0.882
CA_MENDOCINO,0.765
CA_MERCED,0.58
CA_MODOC,0.835
CA_MONO,0.8240000000000001
CA_MONTEREY,0.556
CA_NAPA,0.715
CA_NEVADA,0.914
CA_ORANGE,0.608
CA_PLACER,0.835
CA_PLUMAS,0.89
CA_RIVERSIDE,0.61
CA_SACRAMENTO,0.575
CA_SANBENITO,0.637
CA_SANBERNARDINO,0.5670000000000001
CA_SANDIEGO,0.64
CA_SANFRANCISCO,0.485
CA_SANJOAQUIN,0.51
CA_SANLUISOBISPO,0.826
CA_SANMATEO,0.534
CA_SANTABARBARA,0.696
CA_SANTACLARA,0.47
CA_SANTACRUZ,0.725
CA_SHASTA,0.867
CA_SIERRA,0.9329999999999999
CA_SISKIYOU,0.847
CA_SOLANO,0.51
CA_SONOMA,0.768
CA_STANISLAUS,0.6559999999999999
CA_SUTTER,0.61
CA_TEHAMA,0.815
CA_TRINITY,0.873
CA_TULARE,0.601
CA_TUOLUMNE,0.872
CA_VENTURA,0.687
CA_YOLO,0.632
CA_YUBA,0.684
CO_ADAMS,0.733
CO_ALAMOSA,0.748
CO_ARAPAHOE,0.727
CO_ARCHULETA,0.8640000000000001
CO_BACA,0.9259999999999999
CO_BENT,0.792
CO_BOULDER,0.872
CO_BROOMFIELD,0.861
CO_CHAFFEE,0.932
CO_CHEYENNE,0.932
CO_CLEARCREEK,0.953
CO_CONEJOS,0.762
CO_COSTILLA,0.68
CO_CROWLEY,0.774
CO_CUSTER,0.953
CO_DELTA,0.897
CO_DENVER,0.6890000000000001
CO_DOLORES,0.93
CO_DOUGLAS,0.902
CO_EAGLE,0.8320000000000001
CO_ELBERT,0.9470000000000001
CO_ELPASO,0.7979999999999999
CO_FREMONT,0.902
CO_GARFIELD,0.8220000000000001
CO_GILPIN,0.948
CO_GRAND,0.935
CO_GUNNISON,0.924
CO_HINSDALE,0.951
CO_HUERFANO,0.828
CO_JACKSON,0.925
CO_JEFFERSON,0.884
CO_KIOWA,0.963
CO_KITCARSON,0.885
CO_LAKE,0.807
CO_LAPLATA,0.868
CO_LARIMER,0.905
CO_LASANIMAS,0.836
CO_LINCOLN,0.89
CO_LOGAN,0.89
CO_MESA,0.894
CO_MINERAL,0.973
CO_MOFFAT,0.9
CO_MONTEZUMA,0.8109999999999999
CO_MONTROSE,0.867
CO_MORGAN,0.794
CO_OTERO,0.785
CO_OURAY,0.9640000000000001
