YEAR,STATE_COUNTY,INCINEQUALITY
2017,OH_SCIOTO,5.757
2017,NC_HALIFAX,5.753
2017,LA_JACKSON,5.752
2017,MS_ADAMS,5.746
2017,LA_POINTECOUPEE,5.746
2017,GA_LAMAR,5.746
2017,LA_MADISON,5.728
2017,OK_CHOCTAW,5.722
2017,AR_WOODRUFF,5.715
2017,MS_WAYNE,5.711
2017,VA_NORTON,5.703
2017,VA_LEXINGTON,5.694
2017,NM_DEBACA,5.692
2017,TX_CAMERON,5.688
2017,OR_SHERMAN,5.687
2017,KY_ELLIOTT,5.686
2017,MS_COPIAH,5.681
2017,LA_REDRIVER,5.68
2017,SC_BAMBERG,5.678
2017,TN_DECATUR,5.676
2017,MS_CLAIBORNE,5.674
2017,TX_BROOKS,5.674
2017,GA_CALHOUN,5.671
2017,AR_MISSISSIPPI,5.668
2017,TX_WEBB,5.667
2017,GA_SCHLEY,5.666
2017,FL_LEON,5.666
2017,AL_HALE,5.659
2017,SC_EDGEFIELD,5.658
2017,MA_HAMPDEN,5.657
2017,TN_HAYWOOD,5.652
2017,LA_STHELENA,5.651
2017,GA_JEFFERSON,5.648
2017,ID_BOISE,5.647
2017,MS_JEFFERSONDAVIS,5.642
2017,RI_PROVIDENCE,5.637
2017,AL_CONECUH,5.636
2017,ND_GOLDENVALLEY,5.635
2017,IA_STORY,5.633
2017,SC_CALHOUN,5.631
2017,AL_PERRY,5.629
2017,GA_PEACH,5.629
2017,OH_CUYAHOGA,5.629
2017,WV_OHIO,5.624
2017,KY_PERRY,5.623
2017,CA_MARIN,5.621
2017,TX_HIDALGO,5.621
2017,MS_WEBSTER,5.62
2017,NC_NORTHAMPTON,5.617
2017,AR_DESHA,5.615
2017,FL_MIAMI-DADE,5.613
2017,KY_MAGOFFIN,5.611
2017,TX_HARDEMAN,5.611
2017,AL_CRENSHAW,5.605
2017,MS_WARREN,5.594
2017,MS_LAWRENCE,5.588
2017,LA_LAFAYETTE,5.586
2017,LA_CADDO,5.582
2017,SC_DARLINGTON,5.578
2017,CA_GLENN,5.577
2017,GA_TOOMBS,5.576
2017,KY_ROWAN,5.576
2017,KY_MCCREARY,5.573
2017,MS_GRENADA,5.572
2017,KY_LAWRENCE,5.569
2017,MO_BOONE,5.567
2017,AL_BARBOUR,5.563
2017,SC_ORANGEBURG,5.56
2017,LA_SABINE,5.56
2017,SC_CHESTER,5.56
2017,LA_EASTBATONROUGE,5.557
2017,NM_TORRANCE,5.556
2017,KY_JACKSON,5.551
2017,KY_LEWIS,5.549
2017,KY_CRITTENDEN,5.548
2017,MS_ATTALA,5.548
2017,KY_LINCOLN,5.547
2017,NC_PITT,5.547
2017,OK_PUSHMATAHA,5.542
2017,ND_MOUNTRAIL,5.542
2017,MS_LOWNDES,5.54
2017,TX_CALLAHAN,5.539
2017,AZ_NAVAJO,5.536
2017,KY_PIKE,5.536
2017,MT_MUSSELSHELL,5.535
2017,TX_JIMHOGG,5.532
2017,IL_HARDIN,5.531
2017,AR_LAFAYETTE,5.527
2017,LA_WESTBATONROUGE,5.523
2017,GA_TAYLOR,5.522
2017,NC_COLUMBUS,5.521
2017,MT_ROOSEVELT,5.521
2017,LA_CADDO,5.52
2017,KY_FLEMING,5.519
2017,TX_ROBERTSON,5.518
2017,KY_ADAIR,5.517
2017,LA_TANGIPAHOA,5.515
2017,AL_JEFFERSON,5.515
2017,ND_BENSON,5.513
2017,TX_MAVERICK,5.513
2017,TN_TROUSDALE,5.513
2017,GA_MACON,5.509
2017,KY_MONTGOMERY,5.509
2017,NC_ROBESON,5.509
2017,MS_FORREST,5.508
2017,AR_CLARK,5.5
2017,CO_CONEJOS,5.496
2017,CA_DELNORTE,5.493
2017,ND_SLOPE,5.493
2017,MT_SILVERBOW,5.491
2017,WV_WYOMING,5.49
2017,MS_SUNFLOWER,5.49
2017,TX_BAYLOR,5.483
2017,LA_MOREHOUSE,5.48
2017,AL_MONTGOMERY,5.476
2017,TX_HOUSTON,5.475
2017,NC_SCOTLAND,5.474
2017,ND_BURKE,5.471
2017,TX_JEFFERSON,5.469
2017,NM_TAOS,5.468
2017,TN_CHESTER,5.466
2017,MS_HINDS,5.464
2017,KY_BREATHITT,5.464
