YEAR,STATE_COUNTY,POVERTY_RATE
2016,CA_LOSANGELES,0.1780817907512712
2016,IL_COOK,0.16661065537105538
2016,TX_HARRIS,0.173933329688155
2016,AZ_MARICOPA,0.16516857273842417
2016,NY_KINGS,0.22730694976960486
2016,FL_MIAMI-DADE,0.19906783990483962
2016,TX_DALLAS,0.18574720701338782
2016,CA_SANDIEGO,0.1399585190415251
2016,MI_WAYNE,0.24504629788597787
2016,NY_BRONX,0.30529264810849394
2016,PA_PHILADELPHIA,0.25862748587738205
2016,CA_SANBERNARDINO,0.19123627391702913
2016,CA_ORANGE,0.12457825641622158
2016,CA_RIVERSIDE,0.16455840530516494
2016,NY_QUEENS,0.14626597155651272
2016,TX_BEXAR,0.17175660789933742
2016,NV_CLARK,0.15028550458715598
2016,NY_NEWYORK,0.17623605871869313
2016,TX_TARRANT,0.14356131167330968
2016,TX_HIDALGO,0.32757713863549076
2016,FL_BROWARD,0.14366231475519822
2016,CA_SACRAMENTO,0.17882127948343582
2016,CA_FRESNO,0.2692030229254356
2016,OH_CUYAHOGA,0.18481639277743964
2016,WA_KING,0.11217543094043203
2016,WA_KING,0.10696668341193856
2016,FL_HILLSBOROUGH,0.1639385286170474
2016,FL_ORANGE,0.1733960629148818
2016,OH_FRANKLIN,0.17051090280547798
2016,WI_MILWAUKEE,0.2124038981843119
2016,TN_SHELBY,0.21384319334060398
2016,CA_KERN,0.23147880169457813
2016,FL_PALMBEACH,0.13853873073606873
2016,CA_ALAMEDA,0.1201746935256906
2016,IN_MARION,0.20540374813168283
2016,AZ_PIMA,0.19085665696840554
2016,TX_ELPASO,0.22469885405722384
2016,CA_SANTACLARA,0.09278217768439201
2016,TX_TRAVIS,0.15214486513415415
2016,GA_FULTON,0.16953200904038135
2016,PA_ALLEGHENY,0.12731419596310653
2016,TR_SANJUANMUNICIPALITY,0.42259924193193005
2016,FL_DUVAL,0.16618393497723452
2016,MA_SUFFOLK,0.20143073538029477
2016,MN_HENNEPIN,0.11917451598227374
2016,NC_MECKLENBURG,0.14150483342397466
2016,OH_HAMILTON,0.17811640888563965
2016,MD_BALTIMORECITY,0.2308043623369519
2016,TX_CAMERON,0.3303870925675039
2016,GA_DEKALB,0.1899337774465789
2016,NJ_ESSEX,0.17187568684337773
2016,OK_OKLAHOMA,0.1769583504802014
2016,NY_ERIE,0.14740195022539088
2016,FL_PINELLAS,0.1413379463199719
2016,OR_MULTNOMAH,0.17113160188480164
2016,CA_TULARE,0.2826247890818307
2016,NM_BERNALILLO,0.18714407082408957
2016,MA_MIDDLESEX,0.08246907045980814
2016,CA_SANJOAQUIN,0.1776418788087912
2016,UT_SALTLAKE,0.11366274218967276
2016,KY_JEFFERSON,0.16011878766704515
2016,MI_OAKLAND,0.0955401322772924
2016,AL_JEFFERSON,0.18104171480231177
2016,MO_JACKSON,0.1720930509263597
2016,NJ_HUDSON,0.17408235487972087
2016,TN_DAVIDSON,0.17659025212162432
2016,GA_GWINNETT,0.13019142918042043
2016,DC_DISTRICTOFCOLUMBIA,0.17930919715691074
2016,CA_CONTRACOSTA,0.10191775333284767
2016,FL_POLK,0.17678853540983344
2016,NY_MONROE,0.14856064806003988
2016,CT_NEWHAVEN,0.12793326137816116
2016,CO_DENVER,0.1639761036838362
2016,NY_SUFFOLK,0.0725445318619938
2016,NC_WAKE,0.1077668211078765
2016,FL_LEE,0.15539210716224033
2016,CA_SANFRANCISCO,0.124533656242641
2016,RI_PROVIDENCE,0.17207558389217403
2016,WA_PIERCE,0.1268879361994881
2016,MI_MACOMB,0.12040564216499058
2016,CT_HARTFORD,0.1156535463417096
2016,MO_STLOUIS,0.10268026170898703
2016,OK_TULSA,0.15922589514345045
2016,LA_ORLEANS,0.2620775518013587
2016,CA_STANISLAUS,0.1824934809460634
2016,OH_MONTGOMERY,0.18511195632407168
2016,NY_WESTCHESTER,0.097910882064968
2016,MI_KENT,0.14870813953676223
2016,HI_HONOLULU,0.09459080336075339
2016,MA_WORCESTER,0.11422469953412695
2016,CA_VENTURA,0.10638776238952258
2016,OH_LUCAS,0.20657229453337134
2016,NC_GUILFORD,0.1755352248538465
2016,MI_GENESEE,0.20912537272441933
2016,LA_EASTBATONROUGE,0.19549474486364649
2016,IN_LAKE,0.17568199500091042
2016,MA_ESSEX,0.11256971108829651
2016,MD_PRINCEGEORGE'S,0.09656775605086831
2016,TX_WEBB,0.3209273761343307
2016,NJ_PASSAIC,0.16782810336085108
2016,FL_VOLUSIA,0.16703570522969904
2016,GA_COBB,0.11637136683627239
2016,MN_RAMSEY,0.1588765911417589
2016,MO_STLOUISCITY,0.2671998747439427
2016,CT_FAIRFIELD,0.08831960666460902
2016,NY_NASSAU,0.06004682159178453
2016,MA_HAMPDEN,0.17648678535396925
2016,AL_MOBILE,0.19474122174836916
2016,FL_BREVARD,0.1396182008840182
2016,TR_PONCEMUNICIPALITY,0.5126567036377988
2016,OH_SUMMIT,0.14252099956620615
2016,KS_SEDGWICK,0.15049749755737674
2016,NE_DOUGLAS,0.14195960037041777
2016,MD_BALTIMORE,0.09300234257196019
2016,WA_SPOKANE,0.1560090298439315
2016,CO_ELPASO,0.11282972157274235
2016,NJ_MIDDLESEX,0.08935018162934662
2016,TN_KNOX,0.16187393401434153
2016,MD_MONTGOMERY,0.06862627651217597
2016,WA_SNOHOMISH,0.09312968938953585
2016,OR_LANE,0.19725999438732555
2016,AR_PULASKI,0.17987731459303816
2016,LA_JEFFERSON,0.16085645481663124
2016,NC_FORSYTH,0.19523341010771908
