STATE_COUNTY,AFAMERPER
CA_MENDOCINO,0.006999999999999999
CA_MERCED,0.039
CA_MODOC,0.008
CA_MONO,0.003
CA_MONTEREY,0.031
CA_NAPA,0.02
CA_NEVADA,0.004
CA_ORANGE,0.017
CA_PLACER,0.013999999999999999
CA_PLUMAS,0.01
CA_RIVERSIDE,0.064
CA_SACRAMENTO,0.10400000000000001
CA_SANBENITO,0.009000000000000001
CA_SANBERNARDINO,0.08900000000000001
CA_SANDIEGO,0.051
CA_SANFRANCISCO,0.061
CA_SANJOAQUIN,0.076
CA_SANLUISOBISPO,0.021
CA_SANMATEO,0.027999999999999997
CA_SANTABARBARA,0.02
CA_SANTACLARA,0.026000000000000002
CA_SANTACRUZ,0.011000000000000001
CA_SHASTA,0.009000000000000001
CA_SIERRA,0.002
CA_SISKIYOU,0.013000000000000001
CA_SOLANO,0.147
CA_SONOMA,0.016
CA_STANISLAUS,0.028999999999999998
CA_SUTTER,0.02
CA_TEHAMA,0.006
CA_TRINITY,0.004
CA_TULARE,0.016
CA_TUOLUMNE,0.021
CA_VENTURA,0.018000000000000002
CA_YOLO,0.026000000000000002
CA_YUBA,0.033
CO_ADAMS,0.031
CO_ALAMOSA,0.011000000000000001
CO_ARAPAHOE,0.102
CO_ARCHULETA,0.003
CO_BACA,0.006
CO_BENT,0.076
CO_BOULDER,0.009000000000000001
CO_BROOMFIELD,0.011000000000000001
CO_CHAFFEE,0.015
CO_CHEYENNE,0.004
CO_CLEARCREEK,0.006
CO_CONEJOS,0.003
CO_COSTILLA,0.006999999999999999
CO_CROWLEY,0.096
CO_CUSTER,0.01
CO_DELTA,0.005
CO_DENVER,0.102
CO_DOLORES,0.002
CO_DOUGLAS,0.012
CO_EAGLE,0.006999999999999999
CO_ELBERT,0.006999999999999999
CO_ELPASO,0.062
CO_FREMONT,0.039
CO_GARFIELD,0.006999999999999999
CO_GILPIN,0.005
CO_GRAND,0.004
CO_GUNNISON,0.003
CO_HINSDALE,0.004
CO_HUERFANO,0.005
CO_JACKSON,0.0
CO_JEFFERSON,0.011000000000000001
CO_KIOWA,0.003
CO_KITCARSON,0.027000000000000003
CO_LAKE,0.004
CO_LAPLATA,0.004
CO_LARIMER,0.008
CO_LASANIMAS,0.013999999999999999
CO_LINCOLN,0.053
CO_LOGAN,0.04
CO_MESA,0.006
CO_MINERAL,0.003
CO_MOFFAT,0.003
CO_MONTEZUMA,0.002
CO_MONTROSE,0.004
CO_MORGAN,0.028999999999999998
CO_OTERO,0.008
CO_OURAY,0.002
CO_PARK,0.004
CO_PHILLIPS,0.004
CO_PITKIN,0.005
CO_PROWERS,0.005
CO_PUEBLO,0.02
CO_RIOBLANCO,0.008
CO_RIOGRANDE,0.004
CO_ROUTT,0.004
CO_SAGUACHE,0.002
CO_SANJUAN,0.0
CO_SANMIGUEL,0.004
CO_SEDGWICK,0.003
CO_SUMMIT,0.008
CO_TELLER,0.005
CO_WASHINGTON,0.006
CO_WELD,0.01
CO_YUMA,0.002
CT_FAIRFIELD,0.10800000000000001
CT_HARTFORD,0.133
CT_LITCHFIELD,0.013000000000000001
CT_MIDDLESEX,0.047
CT_NEWHAVEN,0.127
CT_NEWLONDON,0.057999999999999996
CT_TOLLAND,0.033
CT_WINDHAM,0.022000000000000002
DE_KENT,0.24
DE_NEWCASTLE,0.237
DE_SUSSEX,0.127
FL_ALACHUA,0.203
FL_BAKER,0.136
FL_BAY,0.10800000000000001
FL_BRADFORD,0.204
FL_BREVARD,0.10099999999999999
FL_BROWARD,0.267
