,STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME,YEAR_x,UNINSURED_RATE,YEAR_y,SOME_COLLEGE
39,AL_LAWRENCE,10732,0.7295,3611,0.2455,20181.0,2017.0,0.161,2017.0,0.506
40,AL_LEE,34321,0.5856,20987,0.35810000000000003,23506.0,2017.0,0.134,2017.0,0.7040000000000001
41,AL_LIMESTONE,28824,0.7223999999999999,9340,0.2341,25020.0,2017.0,0.144,2017.0,0.55
42,AL_LOWNDES,1751,0.262,4882,0.7304999999999999,18368.0,2017.0,0.144,2017.0,0.425
43,AL_MACON,1394,0.1589,7237,0.8249,16826.0,2017.0,0.13,2017.0,0.5579999999999999
44,AL_MADISON,89199,0.5485,62435,0.3839,31933.0,2017.0,0.125,2017.0,0.726
45,AL_MARENGO,5224,0.4759000000000001,5607,0.5108,22072.0,2017.0,0.133,2017.0,0.496
46,AL_MARION,11273,0.8683,1432,0.1103,19576.0,2017.0,0.154,2017.0,0.523
47,AL_MARSHALL,29217,0.8278,4913,0.1392,20382.0,2017.0,0.188,2017.0,0.474
48,AL_MOBILE,94002,0.5562,71001,0.4201,22501.0,2017.0,0.149,2017.0,0.594
49,AL_MONROE,5771,0.5646,4310,0.4216,15749.0,2017.0,0.177,2017.0,0.425
50,AL_MONTGOMERY,33928,0.3551,58669,0.614,24975.0,2017.0,0.139,2017.0,0.613
51,AL_MORGAN,37392,0.7403,11216,0.2221,23764.0,2017.0,0.161,2017.0,0.5379999999999999
52,AL_PERRY,1403,0.2661,3823,0.725,13716.0,2017.0,0.153,2017.0,0.41200000000000003
53,AL_PICKENS,5454,0.5717,3972,0.4164,17153.0,2017.0,0.143,2017.0,0.47200000000000003
54,AL_PIKE,7681,0.5846,5039,0.3835,19715.0,2017.0,0.152,2017.0,0.585
55,AL_RANDOLPH,7697,0.7562000000000001,2290,0.225,19830.0,2017.0,0.168,2017.0,0.491
56,AL_RUSSELL,9210,0.4784000000000001,9577,0.4975,19678.0,2017.0,0.148,2017.0,0.633
57,AL_SHELBY,72846,0.7211,22927,0.227,33313.0,2017.0,0.106,2017.0,0.74
59,AL_SUMTER,1581,0.2469,4739,0.74,14156.0,2017.0,0.167,2017.0,0.51
60,AL_TALLADEGA,20596,0.6172,12108,0.3628,19410.0,2017.0,0.135,2017.0,0.47100000000000003
61,AL_TALLAPOOSA,13546,0.6978,5495,0.2831,21434.0,2017.0,0.143,2017.0,0.47200000000000003
62,AL_TUSCALOOSA,47701,0.5771000000000001,31746,0.3841,22637.0,2017.0,0.122,2017.0,0.625
63,AL_WALKER,24208,0.8233,4486,0.1526,20698.0,2017.0,0.152,2017.0,0.526
65,AL_WILCOX,1737,0.2844,4329,0.7087,13379.0,2017.0,0.163,2017.0,0.359
66,AL_WINSTON,9225,0.895,871,0.08449999999999999,18995.0,2017.0,0.163,2017.0,0.534
67,AZ_APACHE,8240,0.305,17083,0.6324000000000001,12709.0,2017.0,0.21,2017.0,0.478
68,AZ_COCHISE,28092,0.5740999999999999,17450,0.3566,23608.0,2017.0,0.142,2017.0,0.655
69,AZ_COCONINO,21108,0.3645000000000001,32404,0.5644,23382.0,2017.0,0.188,2017.0,0.69
70,AZ_GILA,14182,0.6388,7003,0.3155,20792.0,2017.0,0.176,2017.0,0.495
71,AZ_GRAHAM,8025,0.6722,3301,0.2765,17168.0,2017.0,0.145,2017.0,0.501
72,AZ_GREENLEE,1892,0.5834,1092,0.3367,20516.0,2017.0,0.109,2017.0,0.537
74,AZ_MARICOPA,747361,0.4863,702907,0.4574,27256.0,2017.0,0.156,2017.0,0.643
75,AZ_MOHAVE,58282,0.7367,17455,0.2206,20833.0,2017.0,0.195,2017.0,0.47700000000000004
76,AZ_NAVAJO,20577,0.5256000000000001,16459,0.4204,16626.0,2017.0,0.186,2017.0,0.509
77,AZ_PIMA,167428,0.4045,224661,0.5428000000000001,25269.0,2017.0,0.16,2017.0,0.657
78,AZ_PINAL,72819,0.5725,47892,0.3765,20910.0,2017.0,0.143,2017.0,0.5479999999999999
80,AZ_YAVAPAI,71330,0.634,35590,0.3163,25186.0,2017.0,0.181,2017.0,0.596
81,AZ_YUMA,25165,0.4812,24605,0.4705,18840.0,2017.0,0.194,2017.0,0.547
82,DE_KENT,36991,0.496,33351,0.447,24851.0,2017.0,0.092,2017.0,0.599
84,DE_SUSSEX,62611,0.591,39333,0.371,26908.0,2017.0,0.115,2017.0,0.49700000000000005
86,AR_ASHLEY,5338,0.6604000000000001,2408,0.2979,19761.0,2017.0,0.117,2017.0,0.526
87,AR_BAXTER,14682,0.7428,4169,0.2109,21334.0,2017.0,0.135,2017.0,0.588
88,AR_BENTON,60871,0.6286999999999999,28005,0.2892,26715.0,2017.0,0.142,2017.0,0.593
89,AR_BOONE,12235,0.7594,2926,0.1816,22160.0,2017.0,0.127,2017.0,0.5820000000000001
90,AR_BRADLEY,2164,0.5924,1317,0.3605,19386.0,2017.0,0.181,2017.0,0.43
