STATE_COUNTY,PER_CAPITA_INCOME
IA_DICKINSON,31790
WA_KITSAP,31769
ND_MERCER,31767
IL_MONROE,31758
VA_ROANOKECOUNTY,31728
ND_BARNES,31721
KS_LANE,31694
CO_GRAND,31684
PA_ALLEGHENY,31593
AK_KETCHIKANGATEWAY,31589
MO_ST.CHARLES,31586
TX_TERRELL,31578
NH_CARROLL,31558
MA_WORCESTER,31537
NE_SIOUX,31517
CO_PARK,31504
MD_KENT,31502
ND_ADAMS,31502
GA_HARRIS,31482
MI_LEELANAU,31462
ND_STEELE,31455
MT_DANIELS,31449
ND_STARK,31412
MT_SHERIDAN,31378
VA_SPOTSYLVANIA,31360
WA_SNOHOMISH,31349
VA_MATHEWS,31342
NH_MERRIMACK,31310
SD_MINER,31288
IL_KENDALL,31276
AK_KENAIPENINSULA,31256
VA_POWHATAN,31252
IL_PIATT,31190
ND_RENVILLE,31178
NC_CHATHAM,31175
IA_GRUNDY,31164
TX_GLASSCOCK,31135
AK_HAINES,31096
OR_WASHINGTONCOUNTY,31078
CO_TELLER,31075
TX_WILLIAMSON,31070
ND_MCLEAN,30992
PA_BUTLER,30957
GA_COLUMBIA,30949
WY_CONVERSE,30941
WA_ISLAND,30941
SD_STANLEY,30933
VT_WINDSOR,30932
IL_WOODFORD,30926
TX_GALVESTON,30926
IA_AUDUBON,30919
VA_ISLEOFWIGHT,30903
VA_FLUVANNA,30881
CO_LARIMER,30740
NH_GRAFTON,30738
VA_LANCASTER,30737
OH_MEDINA,30707
TX_PARKER,30692
CA_SANDIEGO,30668
WI_DOOR,30657
MN_ANOKA,30647
NJ_CAMDEN,30592
ND_SLOPE,30586
NY_ORANGE,30583
FL_INDIANRIVER,30532
VA_MIDDLESEX,30531
NC_DARE,30529
ND_CASS,30529
NH_BELKNAP,30518
WY_SWEETWATER,30517
NJ_OCEAN,30477
OR_MULTNOMAH,30475
IL_MCLEAN,30460
IA_POLK,30442
NY_ULSTER,30442
KS_HODGEMAN,30440
ND_NELSON,30432
MT_JEFFERSON,30397
IL_WILL,30377
LA_ST.TAMMANY,30363
HI_HONOLULU,30361
CA_SANTABARBARA,30352
NY_WARREN,30351
SD_HUGHES,30284
KS_NESS,30223
SD_SULLY,30218
NE_SARPY,30189
IL_COOK,30183
SC_CHARLESTON,30158
CO_LAPLATA,30151
TX_CHAMBERS,30140
TX_GILLESPIE,30117
NE_THOMAS,30116
VA_FREDERICK,30112
TX_WHEELER,30097
IL_KANE,30082
TX_HOOD,30046
OH_GREENE,30040
NE_SAUNDERS,30039
TX_GOLIAD,30031
NY_RENSSELAER,29987
IL_SANGAMON,29974
CA_SANLUISOBISPO,29954
ND_SARGENT,29950
IA_LINN,29943
MN_GOODHUE,29932
IN_WARRICK,29927
VA_CHESAPEAKECITY,29905
NY_ONTARIO,29904
WY_NATRONA,29877
TX_KING,29836
IN_HENDRICKS,29830
CA_PLUMAS,29806
NV_LANDER,29800
CO_ARCHULETA,29793
VT_WASHINGTONCOUNTY,29761
WA_THURSTON,29744
MI_EMMET,29718
OH_HAMILTON,29681
NC_NEWHANOVER,29679
IL_JODAVIESS,29675
NE_CASS,29638
MN_WRIGHT,29623
GA_CHEROKEE,29615
WV_JEFFERSON,29605
PA_MONTOUR,29600
IA_JOHNSON,29592
LA_CAMERON,29559
TX_HEMPHILL,29544
MI_MIDLAND,29536
AK_MATANUSKA-SUSITNA,29534
MD_CECIL,29518
HI_MAUI,29517
MN_RAMSEY,29484
MA_HAMPSHIRE,29460
AK_SOUTHEASTFAIRBANKSCENSUSAREA,29437
MO_CLAY,29406
ND_MORTON,29389
NH_STRAFFORD,29369
NC_DURHAM,29347
CA_CALAVERAS,29329
NE_WASHINGTONCOUNTY,29328
ND_WELLS,29301
MA_BERKSHIRE,29294
KY_WOODFORD,29277
PA_NORTHAMPTON,29266
FL_PINELLAS,29262
MA_FRANKLIN,29259
KY_FAYETTE,29251
KY_BOONE,29235
PA_DAUPHIN,29234
ND_SHERIDAN,29219
VT_BENNINGTON,29196
IN_POSEY,29187
NE_DOUGLAS,29180
VA_SUFFOLKCITY,29135
OH_LAKE,29132
MN_POPE,29128
IA_KOSSUTH,29127
ME_YORK,29125
TX_RANDALL,29124
MN_DODGE,29107
IA_WARREN,29088
TX_BRAZORIA,29081
ND_WALSH,29072
IA_CLAY,29060
TX_LIPSCOMB,29017
IA_SCOTT,28948
MT_GALLATIN,28939
CA_SOLANO,28929
FL_NASSAU,28926
NC_MOORE,28913
WI_CALUMET,28907
ND_KIDDER,28904
LA_LAFAYETTE,28901
NC_UNION,28894
VA_WARREN,28889
MT_STILLWATER,28868
CO_ELPASO,28867
VT_WINDHAM,28867
OH_UNION,28852
MA_BRISTOL,28837
ME_SAGADAHOC,28829
GA_DEKALB,28810
AK_HOONAH-ANGOONCENSUSAREA,28806
NJ_SALEM,28772
WY_WESTON,28764
OH_CLERMONT,28761
VA_MANASSASCITY,28752
NY_ONONDAGA,28746
MN_STEVENS,28746
NY_MONROE,28732
IA_BREMER,28727
IL_GRUNDY,28725
VT_ADDISON,28722
VA_BATH,28704
VA_BEDFORDCOUNTY,28697
FL_SEMINOLE,28675
VA_GLOUCESTER,28673
NV_WASHOE,28670
IN_PORTER,28669
FL_OKALOOSA,28600
WA_BENTON,28583
NH_SULLIVAN,28582
IN_JOHNSON,28575
VA_NORTHUMBERLAND,28568
MT_FALLON,28563
AK_KODIAKISLAND,28562
ND_WARD,28557
MT_POWDERRIVER,28528
WY_LARAMIE,28505
NE_DUNDY,28502
AK_WRANGELL,28474
TN_DAVIDSON,28467
MI_CLINTON,28449
WA_SKAMANIA,28449
IL_PEORIA,28438
NM_EDDY,28438
PA_WASHINGTONCOUNTY,28433
KS_MIAMI,28412
MT_LEWISANDCLARK,28400
NE_SEWARD,28359
NV_ELKO,28358
SD_CUSTER,28356
ND_MCHENRY,28331
IL_MENARD,28330
SD_DOUGLAS,28323
NY_SCHENECTADY,28319
WY_WASHAKIE,28308
NE_CHEYENNE,28296
OH_FRANKLIN,28283
MN_WABASHA,28282
WI_COLUMBIA,28273
TX_TARRANT,28266
WA_JEFFERSON,28266
NY_HAMILTON,28265
NE_CHASE,28241
WA_PIERCE,28223
WY_CROOK,28212
NE_YORK,28207
FL_BROWARD,28205
TN_FAYETTE,28201
TX_FRANKLIN,28189
WI_OUTAGAMIE,28186
LA_ASCENSION,28178
WV_KANAWHA,28174
KS_GRAHAM,28146
TN_KNOX,28136
TX_SOMERVELL,28134
PA_YORK,28132
ND_GRANT,28129
IN_HANCOCK,28111
IA_O'BRIEN,28086
ND_RAMSEY,28081
WY_JOHNSON,28072
MN_SHERBURNE,28071
ME_LINCOLN,28070
IA_IOWACOUNTY,28068
NV_EUREKA,28056
TX_IRION,28055
PA_WESTMORELAND,28051
CA_MONO,28046
IL_TAZEWELL,28037
IA_GUTHRIE,28030
MN_TRAVERSE,28030
TX_BAYLOR,28021
MN_LACQUIPARLE,28014
OH_OTTAWA,27979
NY_ERIE,27978
WV_PUTNAM,27957
WY_SHERIDAN,27948
IA_PLYMOUTH,27942
NE_PERKINS,27931
KY_JEFFERSON,27925
PA_LEHIGH,27923
MN_CHISAGO,27914
ND_HETTINGER,27910
IA_EMMET,27908
TX_HARRIS,27899
CT_WINDHAM,27893
ND_LOGAN,27887
MN_LAKE,27883
SD_CLARK,27878
NH_CHESHIRE,27874
ME_KNOX,27865
TN_WILSON,27864
GA_GREENE,27828
WY_PARK,27824
OH_SUMMIT,27818
ND_PEMBINA,27817
KY_SCOTT,27802
IL_CLINTON,27802
TX_ARCHER,27800
ME_HANCOCK,27797
NE_KEARNEY,27796
TX_BREWSTER,27796
TN_SUMNER,27795
MN_LESUEUR,27793
WI_BROWN,27787
MT_YELLOWSTONE,27761
SD_SPINK,27757
CA_LOSANGELES,27749
CA_YOLO,27730
TX_SUTTON,27721
MN_DOUGLAS,27716
ND_RICHLAND,27713
KY_KENTON,27704
PA_PIKE,27691
ND_EMMONS,27690
IA_MADISON,27685
SD_MOODY,27682
WA_CLARK,27681
OK_TULSA,27676
NE_BUTLER,27673
MI_GRANDTRAVERSE,27660
VA_ORANGE,27655
CO_GUNNISON,27654
NE_POLK,27639
KS_COFFEY,27627
VA_COLONIALHEIGHTSCITY,27610
WI_MARATHON,27607
MT_CARBON,27599
IA_JEFFERSON,27593
CO_RIOBLANCO,27586
GA_BRYAN,27556
OK_CANADIAN,27552
SD_DEUEL,27525
OR_DESCHUTES,27524
LA_EASTBATONROUGE,27505
FL_SUMTER,27504
TX_MASON,27504
TX_KIMBLE,27502
SD_LAWRENCE,27498
NC_CARTERET,27496
MT_WIBAUX,27492
SD_KINGSBURY,27485
OK_GRANT,27469
MO_CASS,27463
WI_PIERCE,27462
KS_MCPHERSON,27462
ID_ADA,27452
MN_MURRAY,27450
CA_INYO,27441
TX_ANDREWS,27429
LA_BOSSIER,27429
OH_CUYAHOGA,27423
NY_TOMPKINS,27418
AR_PULASKI,27414
IL_MADISON,27407
VT_FRANKLIN,27398
NJ_ATLANTIC,27391
IN_WARREN,27390
VA_CULPEPER,27379
TX_MCMULLEN,27375
OK_ROGERS,27365
MN_JACKSON,27361
IN_BARTHOLOMEW,27359
ND_STUTSMAN,27351
FL_LEE,27348
CA_AMADOR,27347
GA_DAWSON,27330
KS_BUTLER,27329
OK_ROGERMILLS,27326
ND_EDDY,27323
FL_MANATEE,27322
VA_ROCKINGHAM,27298
VA_MADISON,27296
IA_CERROGORDO,27291
VT_ORANGE,27289
PA_ADAMS,27284
SD_YANKTON,27268
VA_CHARLOTTESVILLECITY,27268
MN_STEELE,27259
AZ_MARICOPA,27256
TX_WILSON,27238
NY_TIOGA,27230
TN_HAMILTON,27229
VA_FREDERICKSBURGCITY,27222
NE_DEUEL,27199
ND_GRIGGS,27197
IN_FLOYD,27185
VA_RICHMONDCITY,27184
OK_ELLIS,27183
CO_CHAFFEE,27182
OK_MAJOR,27168
MT_MCCONE,27161
VT_LAMOILLE,27157
KS_DECATUR,27154
NJ_PASSAIC,27152
IA_BOONE,27149
FL_HILLSBOROUGH,27149
WI_RACINE,27141
NE_LANCASTER,27141
SD_BROWN,27138
WI_WALWORTH,27130
IL_CARROLL,27118
IL_HENRY,27117
IA_MILLS,27101
ND_TRAILL,27098
PA_LEBANON,27074
IL_PUTNAM,27074
WA_SKAGIT,27065
WI_GREEN,27060
IN_DEARBORN,27058
OK_WASHINGTONCOUNTY,27053
IL_EFFINGHAM,27051
TN_LOUDON,27045
WI_ONEIDA,27041
KY_SHELBY,27039
IA_BUCHANAN,27038
TX_FAYETTE,27032
OH_FAIRFIELD,27031
ND_GRANDFORKS,27026
KS_LEAVENWORTH,27017
SD_LAKE,27015
FL_BREVARD,27009
SD_PENNINGTON,27000
VA_GREENE,26998
CA_MARIPOSA,26988
TX_YOUNG,26979
NE_THAYER,26965
TX_JEFFDAVIS,26958
VA_LOUISA,26956
WI_WINNEBAGO,26955
WA_GARFIELD,26954
TX_ARANSAS,26953
MI_CHARLEVOIX,26947
KY_CAMPBELL,26945
VA_MANASSASPARKCITY,26944
VA_KINGWILLIAM,26940
IA_FREMONT,26930
MN_KITTSON,26927
NM_SANDOVAL,26924
IL_CALHOUN,26924
OK_CLEVELAND,26920
KS_MITCHELL,26911
DE_SUSSEX,26908
LA_JEFFERSON,26908
AL_JEFFERSON,26906
KS_THOMAS,26903
MS_RANKIN,26897
KS_RAWLINS,26897
MO_BOONE,26895
SC_LEXINGTON,26886
MN_KANDIYOHI,26880
TX_HAYS,26873
FL_SANTAROSA,26861
NE_PHELPS,26856
IL_STARK,26843
KS_SHERIDAN,26841
NC_BRUNSWICK,26839
MN_MARSHALL,26834
TX_CARSON,26827
MN_MCLEOD,26824
