YEAR,STATE_COUNTY,UNEMP_RATE
2017,AK_VALDEZCORDOVACENSUSARE,0.088
2017,VA_MARTINSVILLE,0.088
2017,TN_LAKE,0.088
2017,GA_CHATTAHOOCHEE,0.088
2017,AK_DENALIBOROUG,0.087
2017,KY_MENIFEE,0.087
2017,NV_NYE,0.087
2017,CA_GLENN,0.087
2017,NJ_CUMBERLAND,0.087
2017,LA_WEBSTER,0.087
2017,UT_GARFIELD,0.087
2017,SC_DILLON,0.087
2017,MS_JEFFERSONDAVIS,0.087
2017,MI_KEWEENAW,0.087
2017,TN_MCNAIRY,0.087
2017,LA_RICHLAND,0.086
2017,KY_JACKSON,0.086
2017,MI_ARENAC,0.086
2017,NC_VANCE,0.086
2017,KY_LEWIS,0.086
2017,CA_DELNORTE,0.086
2017,TN_CARROLL,0.086
2017,LA_CONCORDIA,0.086
2017,IL_ALEXANDER,0.086
2017,TN_HAYWOOD,0.086
2017,IL_JOHNSON,0.086
2017,NM_HARDING,0.086
2017,KY_LEE,0.085
2017,WV_MASON,0.085
2017,GA_EMANUEL,0.085
2017,WV_PLEASANTS,0.085
2017,SC_LEE,0.085
2017,FL_CITRUS,0.085
2017,SC_HAMPTON,0.085
2017,KY_BELL,0.085
2017,GA_TELFAIR,0.085
2017,GA_TOOMBS,0.085
2017,WV_FAYETTE,0.085
2017,NC_ROBESON,0.085
2017,OR_CROOK,0.085
2017,OR_CURRY,0.085
2017,MI_OSCODA,0.084
2017,NC_WARREN,0.084
2017,WV_MARSHALL,0.084
2017,OK_MCINTOSH,0.084
2017,WI_BAYFIELD,0.084
2017,FL_CITRUS,0.084
2017,MS_CARROLL,0.084
2017,GA_MONTGOMERY,0.084
2017,MS_WINSTON,0.084
2017,SC_GEORGETOWN,0.084
2017,KY_JOHNSON,0.084
2017,GA_DODGE,0.083
2017,SC_CHESTER,0.083
2017,OH_MEIGS,0.083
2017,KY_MCCREARY,0.083
2017,WA_LEWIS,0.083
2017,VA_WISE,0.083
2017,LA_STJAMES,0.083
2017,KY_CLINTON,0.083
2017,LA_WINN,0.083
2017,MD_SOMERSET,0.083
2017,KY_KNOX,0.083
2017,AK_YAKUTAT,0.083
2017,MT_SANDERS,0.082
2017,IL_FRANKLIN,0.082
2017,MS_WALTHALL,0.082
2017,WV_LEWIS,0.082
2017,MS_YAZOO,0.082
2017,GA_MARION,0.082
2017,GA_MCDUFFIE,0.082
2017,MI_LAKE,0.082
2017,GA_JENKINS,0.082
2017,WV_POCAHONTAS,0.082
2017,TN_VANBUREN,0.082
2017,MI_ALGER,0.082
2017,MT_MINERAL,0.082
2017,TN_HENDERSON,0.082
2017,LA_CALDWELL,0.082
2017,IL_HARDIN,0.082
2017,GA_SUMTER,0.082
2017,GA_TREUTLEN,0.082
2017,TX_DUVAL,0.082
2017,LA_BIENVILLE,0.082
2017,NC_HOKE,0.081
2017,GA_IRWIN,0.081
2017,KY_WAYNE,0.081
2017,GA_SCREVEN,0.081
2017,GA_TALIAFERRO,0.081
2017,MO_SHANNON,0.081
2017,AL_MACON,0.081
2017,MS_ADAMS,0.081
2017,MN_KOOCHICHING,0.081
2017,CA_MONTEREY,0.081
2017,TN_UNICOI,0.081
2017,TN_CAMPBELL,0.081
2017,TN_DECATUR,0.081
2017,CA_TEHAMA,0.08
2017,NM_RIOARRIBA,0.08
2017,MS_WAYNE,0.08
2017,GA_PUTNAM,0.08
2017,SC_FAIRFIELD,0.08
2017,NC_BLADEN,0.08
2017,AZ_MOHAVE,0.08
2017,AL_SUMTER,0.08
2017,GA_SEMINOLE,0.08
2017,WA_CLALLAM,0.08
2017,MO_TANEY,0.08
2017,MS_PERRY,0.08
2017,OR_KLAMATH,0.08
2017,KY_MORGAN,0.08
2017,GA_BURKE,0.08
2017,AR_ASHLEY,0.08
2017,MO_DUNKLIN,0.08
2017,MS_CLARKE,0.08
2017,WV_UPSHUR,0.08
2017,NM_CATRON,0.08
2017,ID_CLEARWATER,0.08
2017,MS_BENTON,0.08
2017,WA_YAKIMA,0.08
2017,TN_JACKSON,0.08
2017,AZ_GILA,0.08
2017,MS_BOLIVAR,0.079
2017,OR_WALLOWA,0.079
2017,LA_IBERIA,0.079
