,STATE_COUNTY,PERCENT,tax,property_tax,sales_tax,business_tax,utility_tax,hotel_tax,bonds,ordinance,infrastructure,roads,parks,social_services,mental_health,substance_abuse,affordable_housing,emergency_services,fire,police,paramedic,spending_limit,cannabis,education,library,school,land_use,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME
30,CA_LOS ANGELES,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
31,CA_LOS ANGELES,29.6,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,769743,0.2241,2464364,0.7176,27749
32,CA_LOS ANGELES,60.4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,769743,0.2241,2464364,0.7176,27749
33,CA_LOS ANGELES,59.9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
34,CA_LOS ANGELES,57.1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,769743,0.2241,2464364,0.7176,27749
35,CA_LOS ANGELES,59.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
36,CA_LOS ANGELES,46.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,769743,0.2241,2464364,0.7176,27749
37,CA_LOS ANGELES,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,769743,0.2241,2464364,0.7176,27749
38,CA_LOS ANGELES,37.8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
39,CA_LOS ANGELES,54.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
40,CA_LOS ANGELES,72.6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
41,CA_LOS ANGELES,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
42,CA_LOS ANGELES,69.5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
43,CA_LOS ANGELES,68.9,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
44,CA_LOS ANGELES,83.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
45,CA_LOS ANGELES,37.8,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,769743,0.2241,2464364,0.7176,27749
46,CA_LOS ANGELES,84.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
