STATE_COUNTY,HISPANICPER
CA_LAKE,0.171
CA_LASSEN,0.175
CA_LOSANGELES,0.47700000000000004
CA_MADERA,0.537
CA_MARIN,0.155
CA_MARIPOSA,0.092
CA_MENDOCINO,0.222
CA_MERCED,0.5489999999999999
CA_MODOC,0.139
CA_MONO,0.265
CA_MONTEREY,0.5539999999999999
CA_NAPA,0.322
CA_NEVADA,0.085
CA_ORANGE,0.337
CA_PLACER,0.128
CA_PLUMAS,0.08
CA_RIVERSIDE,0.455
CA_SACRAMENTO,0.21600000000000003
CA_SANBENITO,0.564
CA_SANBERNARDINO,0.49200000000000005
CA_SANDIEGO,0.32
CA_SANFRANCISCO,0.151
CA_SANJOAQUIN,0.389
CA_SANLUISOBISPO,0.20800000000000002
CA_SANMATEO,0.254
CA_SANTABARBARA,0.429
CA_SANTACLARA,0.26899999999999996
CA_SANTACRUZ,0.32
CA_SHASTA,0.084
CA_SIERRA,0.083
CA_SISKIYOU,0.10300000000000001
CA_SOLANO,0.24
CA_SONOMA,0.249
CA_STANISLAUS,0.419
CA_SUTTER,0.28800000000000003
CA_TEHAMA,0.21899999999999997
CA_TRINITY,0.07
CA_TULARE,0.606
CA_TUOLUMNE,0.107
CA_VENTURA,0.40299999999999997
CA_YOLO,0.303
CA_YUBA,0.25
CO_ADAMS,0.38
CO_ALAMOSA,0.46
CO_ARAPAHOE,0.184
CO_ARCHULETA,0.17800000000000002
CO_BACA,0.092
CO_BENT,0.305
CO_BOULDER,0.133
CO_BROOMFIELD,0.111
CO_CHAFFEE,0.094
CO_CHEYENNE,0.09699999999999999
CO_CLEARCREEK,0.047
CO_CONEJOS,0.56
CO_COSTILLA,0.66
CO_CROWLEY,0.29
CO_CUSTER,0.047
CO_DELTA,0.14
CO_DENVER,0.318
CO_DOLORES,0.04
CO_DOUGLAS,0.075
CO_EAGLE,0.301
CO_ELBERT,0.053
CO_ELPASO,0.151
CO_FREMONT,0.12300000000000001
CO_GARFIELD,0.28300000000000003
CO_GILPIN,0.049
CO_GRAND,0.075
CO_GUNNISON,0.08199999999999999
CO_HINSDALE,0.027999999999999997
CO_HUERFANO,0.353
CO_JACKSON,0.10800000000000001
CO_JEFFERSON,0.14300000000000002
CO_KIOWA,0.055999999999999994
CO_KITCARSON,0.19
CO_LAKE,0.391
CO_LAPLATA,0.11800000000000001
CO_LARIMER,0.106
CO_LASANIMAS,0.41600000000000004
CO_LINCOLN,0.125
CO_LOGAN,0.156
CO_MESA,0.133
CO_MINERAL,0.028999999999999998
CO_MOFFAT,0.14400000000000002
CO_MONTEZUMA,0.11
CO_MONTROSE,0.19699999999999998
CO_MORGAN,0.33799999999999997
CO_OTERO,0.40299999999999997
CO_OURAY,0.044000000000000004
CO_PARK,0.048
CO_PHILLIPS,0.187
CO_PITKIN,0.091
CO_PROWERS,0.35200000000000004
CO_PUEBLO,0.414
CO_RIOBLANCO,0.1
CO_RIOGRANDE,0.424
CO_ROUTT,0.068
CO_SAGUACHE,0.401
CO_SANJUAN,0.12
CO_SANMIGUEL,0.086
CO_SEDGWICK,0.121
CO_SUMMIT,0.142
CO_TELLER,0.055
CO_WASHINGTON,0.085
CO_WELD,0.284
CO_YUMA,0.20800000000000002
CT_FAIRFIELD,0.16899999999999998
CT_HARTFORD,0.153
CT_LITCHFIELD,0.045
CT_MIDDLESEX,0.047
CT_NEWHAVEN,0.15
CT_NEWLONDON,0.085
CT_TOLLAND,0.043
CT_WINDHAM,0.096
DE_KENT,0.057999999999999996
DE_NEWCASTLE,0.087
DE_SUSSEX,0.086
FL_ALACHUA,0.084
FL_BAKER,0.019
FL_BAY,0.048
FL_BRADFORD,0.036000000000000004
FL_BREVARD,0.081
FL_BROWARD,0.251
FL_CALHOUN,0.052000000000000005
FL_CHARLOTTE,0.057999999999999996
FL_CITRUS,0.047
FL_CLAY,0.077
FL_COLLIER,0.259
FL_COLUMBIA,0.049
FL_DESOTO,0.299
FL_DIXIE,0.031
FL_DUVAL,0.076
FL_ESCAMBIA,0.047
FL_FLAGLER,0.086
FL_FRANKLIN,0.046
FL_GADSDEN,0.095
FL_GILCHRIST,0.05
FL_GLADES,0.21100000000000002
FL_GULF,0.043
FL_HAMILTON,0.08800000000000001
FL_HARDEE,0.429
FL_HENDRY,0.49200000000000005
FL_HERNANDO,0.10300000000000001
FL_HIGHLANDS,0.174
FL_HILLSBOROUGH,0.249
FL_HOLMES,0.022000000000000002
FL_INDIANRIVER,0.11199999999999999
FL_JACKSON,0.043
FL_JEFFERSON,0.037000000000000005
FL_LAFAYETTE,0.121
FL_LAKE,0.121
FL_LEE,0.183
FL_LEON,0.055999999999999994
FL_LEVY,0.075
FL_LIBERTY,0.062
FL_MADISON,0.047
FL_MANATEE,0.149
FL_MARION,0.109
FL_MARTIN,0.122
FL_MIAMI-DADE,0.65
FL_MONROE,0.20600000000000002
FL_NASSAU,0.032
FL_OKALOOSA,0.068
FL_OKEECHOBEE,0.239
FL_ORANGE,0.26899999999999996
FL_OSCEOLA,0.455
FL_PALMBEACH,0.19
FL_PASCO,0.11699999999999999
FL_PINELLAS,0.08
FL_POLK,0.177
FL_PUTNAM,0.09
FL_STJOHNS,0.052000000000000005
FL_STLUCIE,0.166
FL_SANTAROSA,0.043
FL_SARASOTA,0.079
FL_SEMINOLE,0.171
FL_SUMTER,0.06
FL_SUWANNEE,0.087
FL_TAYLOR,0.034
FL_UNION,0.048
FL_VOLUSIA,0.11199999999999999
FL_WAKULLA,0.033
FL_WALTON,0.053
FL_WASHINGTON,0.028999999999999998
GA_APPLING,0.09300000000000001
GA_ATKINSON,0.243
GA_BACON,0.071
GA_BAKER,0.042
GA_BALDWIN,0.02
GA_BANKS,0.057
GA_BARROW,0.087
GA_BARTOW,0.077
GA_BENHILL,0.057999999999999996
GA_BERRIEN,0.046
GA_BIBB,0.027999999999999997
GA_BLECKLEY,0.023
GA_BRANTLEY,0.019
GA_BROOKS,0.053
GA_BRYAN,0.044000000000000004
GA_BULLOCH,0.035
GA_BURKE,0.026000000000000002
GA_BUTTS,0.025
GA_CALHOUN,0.039
GA_CAMDEN,0.051
GA_CANDLER,0.11199999999999999
GA_CARROLL,0.062
GA_CATOOSA,0.023
GA_CHARLTON,0.025
GA_CHATHAM,0.054000000000000006
GA_CHATTAHOOCHEE,0.124
GA_CHATTOOGA,0.04
GA_CHEROKEE,0.096
GA_CLARKE,0.10400000000000001
GA_CLAY,0.008
GA_CLAYTON,0.13699999999999998
GA_CLINCH,0.035
GA_COBB,0.12300000000000001
GA_COFFEE,0.10300000000000001
GA_COLQUITT,0.171
GA_COLUMBIA,0.05
GA_COOK,0.059000000000000004
GA_COWETA,0.067
GA_CRAWFORD,0.024
GA_CRISP,0.032
GA_DADE,0.018000000000000002
GA_DAWSON,0.040999999999999995
GA_DECATUR,0.05
GA_DEKALB,0.098
GA_DODGE,0.034
GA_DOOLY,0.057999999999999996
GA_DOUGHERTY,0.022000000000000002
GA_DOUGLAS,0.084
GA_EARLY,0.016
GA_ECHOLS,0.293
GA_EFFINGHAM,0.028999999999999998
GA_ELBERT,0.048
GA_EMANUEL,0.040999999999999995
GA_EVANS,0.131
GA_FANNIN,0.018000000000000002
GA_FAYETTE,0.063
GA_FLOYD,0.09300000000000001
GA_FORSYTH,0.094
GA_FRANKLIN,0.039
GA_FULTON,0.079
GA_GILMER,0.095
GA_GLASCOCK,0.011000000000000001
GA_GLYNN,0.064
GA_GORDON,0.14
GA_GRADY,0.1
GA_GREENE,0.055999999999999994
GA_GWINNETT,0.201
GA_HABERSHAM,0.124
GA_HALL,0.261
GA_HANCOCK,0.015
GA_HARALSON,0.011000000000000001
GA_HARRIS,0.027000000000000003
GA_HART,0.031
GA_HEARD,0.019
GA_HENRY,0.057999999999999996
GA_HOUSTON,0.061
GA_IRWIN,0.024
GA_JACKSON,0.062
GA_JASPER,0.037000000000000005
GA_JEFFDAVIS,0.105
GA_JEFFERSON,0.031
GA_JENKINS,0.04
GA_JOHNSON,0.019
GA_JONES,0.011000000000000001
GA_LAMAR,0.019
GA_LANIER,0.046
GA_LAURENS,0.024
GA_LEE,0.02
GA_LIBERTY,0.09699999999999999
GA_LINCOLN,0.012
GA_LONG,0.12300000000000001
GA_LOWNDES,0.048
GA_LUMPKIN,0.045
GA_MCDUFFIE,0.022000000000000002
GA_MCINTOSH,0.016
GA_MACON,0.036000000000000004
GA_MADISON,0.040999999999999995
GA_MARION,0.065
GA_MERIWETHER,0.016
GA_MILLER,0.015
GA_MITCHELL,0.044000000000000004
GA_MONROE,0.02
GA_MONTGOMERY,0.053
GA_MORGAN,0.027999999999999997
GA_MURRAY,0.13
GA_MUSCOGEE,0.064
GA_NEWTON,0.046
GA_OCONEE,0.044000000000000004
GA_OGLETHORPE,0.037000000000000005
GA_PAULDING,0.051
GA_PEACH,0.068
GA_PICKENS,0.027999999999999997
GA_PIERCE,0.047
GA_PIKE,0.011000000000000001
GA_POLK,0.11800000000000001
GA_PULASKI,0.039
GA_PUTNAM,0.063
GA_QUITMAN,0.013999999999999999
GA_RABUN,0.08
GA_RANDOLPH,0.015
GA_RICHMOND,0.040999999999999995
GA_ROCKDALE,0.095
GA_SCHLEY,0.032
GA_SCREVEN,0.012
GA_SEMINOLE,0.023
