UnInsYEAR,STATE_COUNTY,PERCENT_UNINSURED,EXTRA
2015,AK_ALEUTIANSEASTBOROUGH[8],0.416
2016,AK_ALEUTIANSEASTBOROUGH[8],0.405
2016,TX_MASON,0.395
2017,AK_ALEUTIANSEASTBOROUGH[8],0.393
2016,TX_BRISCOE,0.393
2016,ID_CLARK,0.387
2015,TX_HIDALGO,0.386
2015,TX_BRISCOE,0.385
2016,TX_HIDALGO,0.382
2015,TX_HUDSPETH,0.374
2016,TX_HALL,0.373
2016,TX_HUDSPETH,0.37
2016,TX_CASTRO,0.37
2015,AK_YUKONKOYUKUKCENSUSAREA[9],0.368
2016,FL_DESOTO,0.368
2015,GA_ECHOLS,0.363
2015,AK_YAKUTAT,0.362
2015,TX_CAMERON,0.361
2016,TX_COLLINGSWORTH,0.357
2017,TX_BRISCOE,0.354
2016,TX_EDWARDS,0.353
2015,TX_CULBERSON,0.353
2016,TX_CAMERON,0.352
2015,TX_WEBB,0.352
2016,TX_MENARD,0.351
2016,TX_TERRELL,0.35
2015,TX_PRESIDIO,0.35
2016,AK_YAKUTAT,0.35
2016,TX_WEBB,0.349
2016,TX_COTTLE,0.349
2015,TX_GAINES,0.348
2015,TX_CASTRO,0.348
2016,TX_STARR,0.346
2016,TX_ZAPATA,0.346
2016,FL_GLADES,0.343
2016,TX_PRESIDIO,0.343
2015,TX_HALL,0.343
2015,TX_MAVERICK,0.343
2016,TX_MILLS,0.343
2015,TX_STARR,0.342
2015,TX_COTTLE,0.342
2016,TX_GAINES,0.34
2015,TX_REAL,0.34
2017,TX_MASON,0.34
2017,TX_HIDALGO,0.338
2016,TX_MAVERICK,0.338
2015,AK_LAKEANDPENINSULABOROUGH[8],0.337
2016,TX_SHERMAN,0.337
2016,TX_DALLAM,0.337
2016,AK_YUKONKOYUKUKCENSUSAREA[9],0.335
2016,GA_ECHOLS,0.335
2016,NE_HAYES,0.335
2016,TX_COCHRAN,0.335
2017,ID_CLARK,0.335
2015,TX_THROCKMORTON,0.334
2015,FL_MIAMI-DADE,0.332
2016,FL_HENDRY,0.332
2015,TX_EDWARDS,0.332
2016,FL_MIAMI-DADE,0.331
2015,FL_HENDRY,0.331
2016,TX_BAILEY,0.33
2015,TX_KIMBLE,0.329
2017,TX_CASTRO,0.329
2016,TX_JEFFDAVIS,0.328
2015,MT_BLAINE,0.328
2017,TX_CAMERON,0.328
2015,TX_SHERMAN,0.328
2015,TX_MENARD,0.327
2015,TX_MILLS,0.325
2015,TX_COCHRAN,0.325
2015,MT_GARFIELD,0.325
2015,TX_ZAPATA,0.325
2017,TX_PRESIDIO,0.325
2016,TX_SANSABA,0.325
2017,TX_HUDSPETH,0.324
2017,TX_STARR,0.324
2015,TX_COLLINGSWORTH,0.324
2015,ID_CLARK,0.324
2017,TX_COLLINGSWORTH,0.323
2015,TX_DALLAM,0.322
2015,TX_FOARD,0.321
2017,TX_EDWARDS,0.321
2016,MT_GARFIELD,0.32
2016,TX_COMANCHE,0.32
2016,GA_ATKINSON,0.319
2015,FL_GLADES,0.319
2015,TX_PARMER,0.319
2015,FL_DESOTO,0.318
2016,NV_ESMERALDA,0.318
2016,TX_PARMER,0.317
2015,TX_ERATH,0.316
2016,TX_KIMBLE,0.316
2016,TX_CULBERSON,0.315
2016,TX_KNOX,0.315
2017,TX_MENARD,0.315
2016,MT_MCCONE,0.314
2016,TX_THROCKMORTON,0.314
2017,AK_YUKONKOYUKUKCENSUSAREA[9],0.314
2017,TX_GAINES,0.313
2016,AK_LAKEANDPENINSULABOROUGH[8],0.313
2015,NV_ESMERALDA,0.313
2017,TX_WEBB,0.312
2015,AK_HAINESBOROUGH[8],0.311
2016,ID_OWYHEE,0.311
2015,TX_BAILEY,0.309
2015,TX_COMANCHE,0.309
2017,TX_HALL,0.309
2015,TX_KNOX,0.309
2016,TX_ERATH,0.308
2015,MT_CHOUTEAU,0.308
2016,MT_GOLDENVALLEY,0.308
2017,FL_DESOTO,0.308
2017,TX_MAVERICK,0.307
2017,TX_PARMER,0.307
2016,TX_GONZALES,0.307
2017,AK_YAKUTAT,0.307
2015,CO_SAGUACHE,0.307
2015,TX_ELPASO,0.307
2015,MT_GOLDENVALLEY,0.307
2015,NM_MCKINLEY,0.307
2016,TX_ELPASO,0.307
2017,TX_BAILEY,0.307
2016,TX_TITUS,0.307
2016,FL_HARDEE,0.307
2016,TX_REAL,0.306
2016,TX_MOTLEY,0.306
2015,TX_MASON,0.306
2016,AK_NORTHWESTARCTICBOROUGH[8],0.305
2017,GA_ECHOLS,0.305
2015,MT_BIGHORN,0.305
2016,TX_FOARD,0.305
2015,GA_ATKINSON,0.304
2015,TX_TITUS,0.304
2017,TX_DALLAM,0.303
2015,TX_DEAFSMITH,0.303
2016,TX_DICKENS,0.303
2015,AK_NORTHWESTARCTICBOROUGH[8],0.302
2015,TX_JEFFDAVIS,0.302
2017,TX_SANSABA,0.302
2016,TX_LIPSCOMB,0.302
2016,CO_SAGUACHE,0.302
2016,TX_OCHILTREE,0.301
2015,AK_KUSILVAKCENSUSAREA[9],0.301
2017,AK_LAKEANDPENINSULABOROUGH[8],0.3
2016,OK_CIMARRON,0.3
2016,MT_SANDERS,0.3
2016,AK_HAINESBOROUGH[8],0.299
2016,FL_COLLIER,0.299
2016,CO_COSTILLA,0.299
2017,TX_COMANCHE,0.298
2016,MT_GLACIER,0.298
2015,MT_GLACIER,0.298
2015,TX_GONZALES,0.298
2015,TX_SHELBY,0.298
2016,TX_VALVERDE,0.297
2016,NM_MCKINLEY,0.297
